catalog_id,k,heuristic,ndcg5,ci_lo,ci_hi
phi_V100_EHIGH_z0.5_p0.5_s0,2,lambda_hybrid_0.25,0.327796,0.299196,0.357177
phi_V100_EHIGH_z0.5_p0.5_s0,2,lambda_hybrid_0.5,0.320769,0.293909,0.349704
phi_V100_EHIGH_z0.5_p0.5_s0,2,lambda_hybrid_0.75,0.194204,0.174989,0.216400
phi_V100_EHIGH_z0.5_p0.5_s0,3,pop_global,0.243132,0.217728,0.267351
phi_V100_EHIGH_z0.5_p0.5_s0,3,recency_pop_0.1,0.198204,0.173778,0.220274
phi_V100_EHIGH_z0.5_p0.5_s0,3,recency_pop_0.5,0.215089,0.192642,0.238434
phi_V100_EHIGH_z0.5_p0.5_s0,3,recency_pop_1.0,0.215556,0.192884,0.239474
phi_V100_EHIGH_z0.5_p0.5_s0,3,pop_category,0.221122,0.197296,0.246721
phi_V100_EHIGH_z0.5_p0.5_s0,3,pop_price,0.229402,0.204235,0.252534
phi_V100_EHIGH_z0.5_p0.5_s0,3,content_knn_1,0.034550,0.025688,0.043028
phi_V100_EHIGH_z0.5_p0.5_s0,3,content_knn_3,0.046360,0.035959,0.056798
phi_V100_EHIGH_z0.5_p0.5_s0,3,content_knn_5,0.034089,0.025476,0.042843
phi_V100_EHIGH_z0.5_p0.5_s0,3,last_item_nbhd,0.034233,0.025755,0.044270
phi_V100_EHIGH_z0.5_p0.5_s0,3,pop_scaled_content,0.238010,0.213965,0.264482
phi_V100_EHIGH_z0.5_p0.5_s0,3,co_purchase,0.011670,0.005961,0.017893
phi_V100_EHIGH_z0.5_p0.5_s0,3,lambda_hybrid_0.25,0.232261,0.207851,0.259523
phi_V100_EHIGH_z0.5_p0.5_s0,3,lambda_hybrid_0.5,0.221460,0.197502,0.246556
phi_V100_EHIGH_z0.5_p0.5_s0,3,lambda_hybrid_0.75,0.131729,0.113624,0.149400
phi_V100_EHIGH_z0.5_p0.5_s0,5,pop_global,0.133731,0.113733,0.153818
phi_V100_EHIGH_z0.5_p0.5_s0,5,recency_pop_0.1,0.128443,0.108595,0.146363
phi_V100_EHIGH_z0.5_p0.5_s0,5,recency_pop_0.5,0.130631,0.111411,0.150401
phi_V100_EHIGH_z0.5_p0.5_s0,5,recency_pop_1.0,0.129462,0.110846,0.149018
phi_V100_EHIGH_z0.5_p0.5_s0,5,pop_category,0.125502,0.106680,0.144169
