catalog_id,n_items,entropy,zipf_s,seed,phi_nominal,phi_effective,phi_capped,headroom,headroom_lo,headroom_hi,headroom_full,headroom_full_lo,headroom_full_hi,delta_vs_phi0,delta_lo,delta_hi,delta_dominant,winner_per_k,overtake_any,overtake_detail,gate_KS,gate_max_abs_dev,dHHI,dNormEntropy,inner_cells_used
phi_V20_EHIGH_z0.5_p0.25_s0,20,HIGH,0.5,0,0.25,0.25,False,-0.244463,-0.261110,-0.228639,-0.238104,-0.252730,-0.223917,0.003617,-0.025174,0.032478,false,0:pop_price;1:pop_global;2:pop_price;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.006398,0.003971,0.000369,-0.001124,5
phi_V20_EHIGH_z0.5_p0.25_s1,20,HIGH,0.5,1,0.25,0.25,False,-0.185565,-0.200240,-0.170905,-0.181664,-0.195036,-0.167292,-0.003544,-0.030281,0.024240,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.008073,0.005673,-0.007169,0.008678,5
phi_V20_EHIGH_z0.5_p0.5_s0,20,HIGH,0.5,0,0.5,0.5,False,-0.247798,-0.262896,-0.232380,-0.237942,-0.251344,-0.224349,0.003778,-0.023789,0.032046,false,0:pop_global;1:pop_price;2:pop_price;3:pop_price;5:pop_global;8:recency_pop_0.1,False,,0.011913,0.005515,-0.004992,0.006825,5
phi_V20_EHIGH_z0.5_p0.5_s1,20,HIGH,0.5,1,0.5,0.445,True,-0.184808,-0.198605,-0.169031,-0.179212,-0.192603,-0.165551,-0.001092,-0.027847,0.025982,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.024220,0.016801,-0.019999,0.020622,5
phi_V20_EHIGH_z0.5_p0.5_s2,20,HIGH,0.5,2,0.5,0.4167,True,-0.168716,-0.183686,-0.154865,-0.171463,-0.185077,-0.159099,,,,,0:pop_category;1:pop_category;2:pop_price;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.017715,0.016165,-0.019802,0.012590,5
phi_V20_EHIGH_z0.5_p0_s0,20,HIGH,0.5,0,0.0,0.0,False,-0.247496,-0.263847,-0.232135,-0.241721,-0.256395,-0.227555,,,,,0:pop_price;1:pop_price;2:pop_price;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V20_EHIGH_z0.5_p0_s1,20,HIGH,0.5,1,0.0,0.0,False,-0.180788,-0.195724,-0.165497,-0.178120,-0.191533,-0.164755,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V20_EHIGH_z0.5_p1_s0,20,HIGH,0.5,0,1.0,0.6011,True,-0.232605,-0.249410,-0.216359,-0.227386,-0.242605,-0.212855,0.014334,-0.015049,0.043540,false,0:pop_price;1:pop_global;2:pop_price;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.016325,0.019854,-0.018694,0.026849,5
phi_V20_EHIGH_z0.5_p1_s1,20,HIGH,0.5,1,1.0,0.445,True,-0.184808,-0.198605,-0.169031,-0.179212,-0.192603,-0.165551,-0.001092,-0.027847,0.025982,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.024220,0.016801,-0.019999,0.020622,5
phi_V20_EHIGH_z1.5_p0.25_s0,20,HIGH,1.5,0,0.25,0.25,False,-0.177832,-0.197834,-0.159351,-0.179554,-0.195436,-0.163355,0.009098,-0.022431,0.041026,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.007059,0.006839,-0.003833,0.004237,5
